University Name,University Code,Department Name,Language,Payment Type,Faculty Name,Score Type,Education Type,University URL,,,,,
ABDULLAH GÜL ÜNİVERSİTESİ,1065,Bilgisayar Mühendisliği ,İngilizce,,Mühendislik Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=106510077,,,,,
ABDULLAH GÜL ÜNİVERSİTESİ,1065,Biyomühendislik ,İngilizce,,Yaşam ve Doğa Bilimleri Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=106510087,,,,,
ABDULLAH GÜL ÜNİVERSİTESİ,1065,Ekonomi ,İngilizce,,Yönetim Bilimleri Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=106510088,,,,,
ABDULLAH GÜL ÜNİVERSİTESİ,1065,Elektrik-Elektronik Mühendisliği ,İngilizce,,Mühendislik Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=106510068,,,,,
ABDULLAH GÜL ÜNİVERSİTESİ,1065,Endüstri Mühendisliği ,İngilizce,,Mühendislik Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=106510023,,,,,
ABDULLAH GÜL ÜNİVERSİTESİ,1065,İnşaat Mühendisliği ,İngilizce,,Mühendislik Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=106510032,,,,,
ABDULLAH GÜL ÜNİVERSİTESİ,1065,İşletme ,İngilizce,,Yönetim Bilimleri Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=106510059,,,,,
ABDULLAH GÜL ÜNİVERSİTESİ,1065,Makine Mühendisliği ,İngilizce,,Mühendislik Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=106510041,,,,,
ABDULLAH GÜL ÜNİVERSİTESİ,1065,Mimarlık ,İngilizce,,Mimarlık Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=106510014,,,,,
ABDULLAH GÜL ÜNİVERSİTESİ,1065,Moleküler Biyoloji ve Genetik ,İngilizce,,Yaşam ve Doğa Bilimleri Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=106510086,,,,,
ABDULLAH GÜL ÜNİVERSİTESİ,1065,Moleküler Biyoloji ve Genetik ,İngilizce,,Yaşam ve Doğa Bilimleri Fakültesi, ,,https://yokatlas.yok.gov.tr/ lisans.php?y=106510091,,,,,
ABDULLAH GÜL ÜNİVERSİTESİ,1065,Psikoloji ,İngilizce,,İnsan ve Toplum Bilimleri Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=106510090,,,,,
ABDULLAH GÜL ÜNİVERSİTESİ,1065,Siyaset Bilimi ve Uluslararası İlişkiler ,İngilizce,,İnsan ve Toplum Bilimleri Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=106510089,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Bilgisayar Mühendisliği ,İngilizce,,Bilgisayar ve Bilişim Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410244,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Biyomühendislik ,İngilizce,,Mühendislik Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410064,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Elektrik-Elektronik Mühendisliği ,İngilizce,,Mühendislik Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410019,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Endüstri Mühendisliği ,İngilizce,,Mühendislik Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410037,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Enerji Sistemleri Mühendisliği ,İngilizce,,Mühendislik Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410225,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Gıda Mühendisliği,Türkçe,,Mühendislik Fakültesi,SAY,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410179,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Havacılık ve Uzay Mühendisliği ,İngilizce,,Havacılık ve Uzay Bilimleri Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410223,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Havacılık ve Uzay Mühendisliği ,İngilizce,,KKTC Uyruklu Havacılık ve Uzay Bilimleri Fakültesi, ,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410229,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,İngilizce Mütercim ve Tercümanlık,Türkçe,,İnsan ve Toplum Bilimleri Fakültesi,DİL,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410227,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,İnşaat Mühendisliği ,İngilizce,,Mühendislik Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410046,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,İşletme ,İngilizce,,İşletme Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410213,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Makine Mühendisliği ,İngilizce,,Mühendislik Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410073,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Malzeme Bilimi ve Mühendisliği ,İngilizce,,Mühendislik Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410272,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Mimarlık,Türkçe,,Mimarlık ve Tasarım Fakültesi,SAY,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410224,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Psikoloji ,İngilizce,,İnsan ve Toplum Bilimleri Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410265,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Siyaset Bilimi ve Kamu Yönetimi ,İngilizce,,Siyasal Bilgiler Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410222,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Turizm İşletmeciliği ,İngilizce,,İşletme Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410237,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Uluslararası İlişkiler ,İngilizce,,Siyasal Bilgiler Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410226,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Uluslararası Ticaret ve Finansman ,İngilizce,,İşletme Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410228,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Yapay Zeka Mühendisliği ,İngilizce,,Bilgisayar ve Bilişim Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410258,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Yazılım Mühendisliği ,İngilizce,,Bilgisayar ve Bilişim Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410251,,,,,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,1104,Yönetim Bilişim Sistemleri ,İngilizce,,İşletme Fakültesi,,,https://yokatlas.yok.gov.tr/ lisans.php?y=110410028,,,,,
ADIYAMAN ÜNİVERSİTESİ,1002,Arapça Öğretmenliği,Türkçe,,Eğitim Fakültesi,DİL,,https://yokatlas.yok.gov.tr/ lisans.php?y=100210283,,,,,
ADIYAMAN ÜNİVERSİTESİ,1002,Arkeoloji,Türkçe,,Fen-Edebiyat Fakültesi,EA,,https://yokatlas.yok.gov.tr/ lisans.php?y=100210317,,,,,
